At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""104""","=""Rf LXXIV""","=""+73""","=""Rutherfordium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""6200""","="")""","=""90""","=""L8672c99""",
"=""104""","=""Rf LXXV""","=""+74""","=""Rutherfordium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""6470""","="")""","=""90""","=""L8672c99""",
"=""104""","=""Rf LXXVI""","=""+75""","=""Rutherfordium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""(""","=""6570""","="")""","=""100""","=""L8672c99""",
"=""104""","=""Rf LXXVII""","=""+76""","=""Rutherfordium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""10170""","="")""","=""110""","=""L8672c99""",
"=""104""","=""Rf LXXVIII""","=""+77""","=""Rutherfordium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""10360""","="")""","=""120""","=""L8672c99""",
"=""104""","=""Rf LXXIX""","=""+78""","=""Rutherfordium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""10560""","="")""","=""120""","=""L8672c99""",
"=""104""","=""Rf LXXX""","=""+79""","=""Rutherfordium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""10780""","="")""","=""140""","=""L8672c99""",
"=""104""","=""Rf LXXXI""","=""+80""","=""Rutherfordium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""10980""","="")""","=""150""","=""L8672c99""",
"=""104""","=""Rf LXXXII""","=""+81""","=""Rutherfordium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""11180""","="")""","=""160""","=""L8672c99""",
"=""104""","=""Rf LXXXIII""","=""+82""","=""Rutherfordium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""11750""","="")""","=""170""","=""L8672c99""",
"=""104""","=""Rf LXXXIV""","=""+83""","=""Rutherfordium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""11960""","="")""","=""190""","=""L8672c99""",
"=""104""","=""Rf LXXXV""","=""+84""","=""Rutherfordium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""12200""","="")""","=""200""","=""L8672c99""",
"=""104""","=""Rf LXXXVI""","=""+85""","=""Rutherfordium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""12410""","="")""","=""220""","=""L8672c99""",
"=""104""","=""Rf LXXXVII""","=""+86""","=""Rutherfordium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""13010""","="")""","=""240""","=""L8672c99""",
"=""104""","=""Rf LXXXVIII""","=""+87""","=""Rutherfordium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""13190""","="")""","=""250""","=""L8672c99""",
"=""104""","=""Rf LXXXIX""","=""+88""","=""Rutherfordium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""13400""","="")""","=""300""","=""L8672c99""",
"=""104""","=""Rf XC""","=""+89""","=""Rutherfordium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""13600""","="")""","=""300""","=""L8672c99""",
"=""104""","=""Rf XCI""","=""+90""","=""Rutherfordium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""15800""","="")""","=""300""","=""L8672c99""",
"=""104""","=""Rf XCII""","=""+91""","=""Rutherfordium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""16000""","="")""","=""300""","=""L8672c99""",
"=""104""","=""Rf XCIII""","=""+92""","=""Rutherfordium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""16400""","="")""","=""400""","=""L8672c99""",
"=""104""","=""Rf XCIV""","=""+93""","=""Rutherfordium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""16700""","="")""","=""400""","=""L8672c99""",
"=""104""","=""Rf XCV""","=""+94""","=""Rutherfordium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""33100""","="")""","=""400""","=""L8672c99""",
"=""104""","=""Rf XCVI""","=""+95""","=""Rutherfordium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""33600""","="")""","=""400""","=""L8672c99""",
