At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""85""","=""At XI""","=""+10""","=""Astatine""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""192.1""","="")""","=""2.4""","=""L8672c99""",
"=""85""","=""At XII""","=""+11""","=""Astatine""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""212.0""","="")""","=""2.5""","=""L8672c99""",
"=""85""","=""At XIII""","=""+12""","=""Astatine""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""236""","="")""","=""3""","=""L8672c99""",
"=""85""","=""At XIV""","=""+13""","=""Astatine""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""263""","="")""","=""3""","=""L8672c99""",
"=""85""","=""At XV""","=""+14""","=""Astatine""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""287""","="")""","=""3""","=""L8672c99""",
"=""85""","=""At XVI""","=""+15""","=""Astatine""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""311""","="")""","=""3""","=""L8672c99""",
"=""85""","=""At XVII""","=""+16""","=""Astatine""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""(""","=""335""","="")""","=""3""","=""L8672c99""",
"=""85""","=""At XVIII""","=""+17""","=""Astatine""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""(""","=""452""","="")""","=""22""","=""L582""",
"=""85""","=""At XIX""","=""+18""","=""Astatine""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""(""","=""481""","="")""","=""24""","=""L582""",
"=""85""","=""At XX""","=""+19""","=""Astatine""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""(""","=""510""","="")""","=""30""","=""L582""",
"=""85""","=""At XXI""","=""+20""","=""Astatine""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""(""","=""540""","="")""","=""30""","=""L582""",
"=""85""","=""At XXII""","=""+21""","=""Astatine""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""(""","=""600""","="")""","=""30""","=""L582""",
"=""85""","=""At XXIII""","=""+22""","=""Astatine""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""(""","=""630""","="")""","=""30""","=""L582""",
"=""85""","=""At XXIV""","=""+23""","=""Astatine""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f14.5s 2S<1/2>""","=""(""","=""720""","="")""","=""40""","=""L582""",
"=""85""","=""At XXV""","=""+24""","=""Astatine""","=""Pm""","=""[Kr].4d10.4f14.5s""","=""2S<1/2>""","=""4f14 1S<0>""","=""(""","=""750""","="")""","=""40""","=""L582""",
"=""85""","=""At XXVI""","=""+25""","=""Astatine""","=""Nd""","=""[Kr].4d10.4f14""","=""1S0""","=""4f13 2F*<7/2>""","=""(""","=""790""","="")""","=""40""","=""L582""",
"=""85""","=""At XXVII""","=""+26""","=""Astatine""","=""Pr""","=""[Kr].4d10.4f13""","=""2F*<7/2>""","=""4f12""","=""(""","=""860""","="")""","=""40""","=""L582""",
"=""85""","=""At XXVIII""","=""+27""","=""Astatine""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""(""","=""920""","="")""","=""50""","=""L582""",
"=""85""","=""At XXIX""","=""+28""","=""Astatine""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""(""","=""990""","="")""","=""50""","=""L582""",
"=""85""","=""At XXX""","=""+29""","=""Astatine""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""(""","=""1050""","="")""","=""50""","=""L582""",
"=""85""","=""At XXXI""","=""+30""","=""Astatine""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""1120""","="")""","=""60""","=""L582""",
"=""85""","=""At XXXII""","=""+31""","=""Astatine""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""(""","=""1180""","="")""","=""60""","=""L582""",
"=""85""","=""At XXXIII""","=""+32""","=""Astatine""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""1250""","="")""","=""60""","=""L582""",
"=""85""","=""At XXXIV""","=""+33""","=""Astatine""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""(""","=""1320""","="")""","=""70""","=""L582""",
"=""85""","=""At XXXV""","=""+34""","=""Astatine""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""1380""","="")""","=""70""","=""L582""",
"=""85""","=""At XXXVI""","=""+35""","=""Astatine""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""1450""","="")""","=""70""","=""L582""",
"=""85""","=""At XXXVII""","=""+36""","=""Astatine""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""1510""","="")""","=""70""","=""L582""",
"=""85""","=""At XXXVIII""","=""+37""","=""Astatine""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""1590""","="")""","=""70""","=""L582""",
"=""85""","=""At XXXIX""","=""+38""","=""Astatine""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""1650""","="")""","=""90""","=""L582""",
"=""85""","=""At XL""","=""+39""","=""Astatine""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""1948""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At XLI""","=""+40""","=""Astatine""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""2007""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At XLII""","=""+41""","=""Astatine""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""2071""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At XLIII""","=""+42""","=""Astatine""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""2139""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At XLIV""","=""+43""","=""Astatine""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d-4.4d+ (0,5/2)<5/2>""","=""(""","=""2203""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At XLV""","=""+44""","=""Astatine""","=""Nb""","=""[Kr].4d5""","=""(0,5/2)<5/2>""","=""4d4 5D<0>""","=""(""","=""2266""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At XLVI""","=""+45""","=""Astatine""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""2373""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At XLVII""","=""+46""","=""Astatine""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""2439""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At XLVIII""","=""+47""","=""Astatine""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""2510""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At XLIX""","=""+48""","=""Astatine""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""2576""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At L""","=""+49""","=""Astatine""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""2841""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At LI""","=""+50""","=""Astatine""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""2905""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At LII""","=""+51""","=""Astatine""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p-2.4p+ (0,3/2)*<3/2>""","=""(""","=""2977""","="")""","=""4""","=""L8672c99""",
"=""85""","=""At LIII""","=""+52""","=""Astatine""","=""As""","=""[Ar].3d10.4s2.4p3""","=""(0,3/2)*<3/2>""","=""4p2 3P<0>""","=""(""","=""3042""","="")""","=""4""","=""L8672c99""",
