At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""86""","=""Rn LXXVII""","=""+76""","=""Radon""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""21770""","="")""","=""110""","=""L8672c99""",
"=""86""","=""Rn LXXVIII""","=""+77""","=""Radon""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""22160""","="")""","=""120""","=""L8672c99""",
"=""86""","=""Rn LXXIX""","=""+78""","=""Radon""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""22600""","="")""","=""120""","=""L8672c99""",
"=""86""","=""Rn LXXX""","=""+79""","=""Radon""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""22990""","="")""","=""140""","=""L8672c99""",
"=""86""","=""Rn LXXXI""","=""+80""","=""Radon""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""26310""","="")""","=""150""","=""L8672c99""",
"=""86""","=""Rn LXXXII""","=""+81""","=""Radon""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""26830""","="")""","=""160""","=""L8672c99""",
"=""86""","=""Rn LXXXIII""","=""+82""","=""Radon""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""27490""","="")""","=""170""","=""L8672c99""",
"=""86""","=""Rn LXXXIV""","=""+83""","=""Radon""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""27903.1""","="")""","=""0.5""","=""L16264c99""",
"=""86""","=""Rn LXXXV""","=""+84""","=""Radon""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""110846.3""","="")""","=""0.5""","=""L21139""",
"=""86""","=""Rn LXXXVI""","=""+85""","=""Radon""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""112842.2""","="")""","=""0.7""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
     [Hg] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6.4f14.5d10.6s2
(b) Uncertainties of some of the listed values are unknown. 
