At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""105""","=""Db LXXXIX""","=""+88""","=""Dubnium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""13500""","="")""","=""300""","=""L8672c99""",
"=""105""","=""Db XC""","=""+89""","=""Dubnium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""13700""","="")""","=""300""","=""L8672c99""",
"=""105""","=""Db XCI""","=""+90""","=""Dubnium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""13900""","="")""","=""300""","=""L8672c99""",
"=""105""","=""Db XCII""","=""+91""","=""Dubnium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""16200""","="")""","=""300""","=""L8672c99""",
"=""105""","=""Db XCIII""","=""+92""","=""Dubnium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""16400""","="")""","=""400""","=""L8672c99""",
"=""105""","=""Db XCIV""","=""+93""","=""Dubnium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""16900""","="")""","=""400""","=""L8672c99""",
"=""105""","=""Db XCV""","=""+94""","=""Dubnium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""17100""","="")""","=""400""","=""L8672c99""",
"=""105""","=""Db XCVI""","=""+95""","=""Dubnium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""33800""","="")""","=""400""","=""L8672c99""",
"=""105""","=""Db XCVII""","=""+96""","=""Dubnium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""34300""","="")""","=""400""","=""L8672c99""",
"=""105""","=""Db XCVIII""","=""+97""","=""Dubnium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""34800""","="")""","=""400""","=""L8672c99""",
"=""105""","=""Db XCIX""","=""+98""","=""Dubnium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""35300""","="")""","=""500""","=""L8672c99""",
"=""105""","=""Db C""","=""+99""","=""Dubnium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""43800""","="")""","=""500""","=""L8672c99""",
"=""105""","=""Db CI""","=""+100""","=""Dubnium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""44500""","="")""","=""500""","=""L8672c99""",
"=""105""","=""Db CII""","=""+101""","=""Dubnium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""45400""","="")""","=""500""","=""L8672c99""",
"=""105""","=""Db CIII""","=""+102""","=""Dubnium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""105""","=""Db CIV""","=""+103""","=""Dubnium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""178505""","="")""","=""10""","=""u52""",
"=""105""","=""Db CV""","=""+104""","=""Dubnium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""181445""","="")""","=""10""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
     [Rn] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6.4f14.5d10.6s2.6p6
(b) If the listed ionization energy is blank, it is unknown. Only the ground state is known.
(c) Uncertainties of some of the listed values are unknown. 
