At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""107""","=""Bh LIV""","=""+53""","=""Bohrium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LV""","=""+54""","=""Bohrium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LVI""","=""+55""","=""Bohrium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LVII""","=""+56""","=""Bohrium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LVIII""","=""+57""","=""Bohrium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LIX""","=""+58""","=""Bohrium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LX""","=""+59""","=""Bohrium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LXI""","=""+60""","=""Bohrium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""107""","=""Bh LXII""","=""+61""","=""Bohrium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""4216""","="")""","=""12""","=""L8672c99""",
"=""107""","=""Bh LXIII""","=""+62""","=""Bohrium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""4301""","="")""","=""15""","=""L8672c99""",
"=""107""","=""Bh LXIV""","=""+63""","=""Bohrium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""4390""","="")""","=""19""","=""L8672c99""",
