At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""106""","=""Sg LV""","=""+54""","=""Seaborgium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg LVI""","=""+55""","=""Seaborgium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg LVII""","=""+56""","=""Seaborgium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg LVIII""","=""+57""","=""Seaborgium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg LIX""","=""+58""","=""Seaborgium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg LX""","=""+59""","=""Seaborgium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg LXI""","=""+60""","=""Seaborgium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""4095""","="")""","=""10""","=""L8672c99""",
"=""106""","=""Sg LXII""","=""+61""","=""Seaborgium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""4178""","="")""","=""12""","=""L8672c99""",
"=""106""","=""Sg LXIII""","=""+62""","=""Seaborgium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""4267""","="")""","=""15""","=""L8672c99""",
"=""106""","=""Sg LXIV""","=""+63""","=""Seaborgium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""4360""","="")""","=""19""","=""L8672c99""",
"=""106""","=""Sg LXV""","=""+64""","=""Seaborgium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d-4.4d+ (0,5/2)<5/2>""","=""(""","=""4450""","="")""","=""24""","=""L8672c99""",
"=""106""","=""Sg LXVI""","=""+65""","=""Seaborgium""","=""Nb""","=""[Kr].4d5""","=""(0,5/2)<5/2>""","=""4d4 5D<0>""","=""(""","=""4540""","="")""","=""30""","=""L8672c99""",
"=""106""","=""Sg LXVII""","=""+66""","=""Seaborgium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""4750""","="")""","=""40""","=""L8672c99""",
"=""106""","=""Sg LXVIII""","=""+67""","=""Seaborgium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""4840""","="")""","=""40""","=""L8672c99""",
