At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""110""","=""Ds LXII""","=""+61""","=""Darmstadtium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LXIII""","=""+62""","=""Darmstadtium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LXIV""","=""+63""","=""Darmstadtium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds LXV""","=""+64""","=""Darmstadtium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""4590""","="")""","=""24""","=""L8672c99""",
"=""110""","=""Ds LXVI""","=""+65""","=""Darmstadtium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""4680""","="")""","=""30""","=""L8672c99""",
"=""110""","=""Ds LXVII""","=""+66""","=""Darmstadtium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""4770""","="")""","=""40""","=""L8672c99""",
"=""110""","=""Ds LXVIII""","=""+67""","=""Darmstadtium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""4870""","="")""","=""40""","=""L8672c99""",
"=""110""","=""Ds LXIX""","=""+68""","=""Darmstadtium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d-4.4d+ (0,5/2)<5/2>""","=""(""","=""4960""","="")""","=""50""","=""L8672c99""",
"=""110""","=""Ds LXX""","=""+69""","=""Darmstadtium""","=""Nb""","=""[Kr].4d5""","=""(0,5/2)<5/2>""","=""4d4 5D<0>""","=""(""","=""5060""","="")""","=""50""","=""L8672c99""",
"=""110""","=""Ds LXXI""","=""+70""","=""Darmstadtium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""5300""","="")""","=""60""","=""L8672c99""",
"=""110""","=""Ds LXXII""","=""+71""","=""Darmstadtium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""5400""","="")""","=""60""","=""L8672c99""",
"=""110""","=""Ds LXXIII""","=""+72""","=""Darmstadtium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""5500""","="")""","=""70""","=""L8672c99""",
"=""110""","=""Ds LXXIV""","=""+73""","=""Darmstadtium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""5600""","="")""","=""90""","=""L8672c99""",
"=""110""","=""Ds LXXV""","=""+74""","=""Darmstadtium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""5990""","="")""","=""90""","=""L8672c99""",
"=""110""","=""Ds LXXVI""","=""+75""","=""Darmstadtium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""6080""","="")""","=""100""","=""L8672c99""",
"=""110""","=""Ds LXXVII""","=""+76""","=""Darmstadtium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p-2.4p+ (0,3/2)*<3/2>""","=""(""","=""6190""","="")""","=""110""","=""L8672c99""",
"=""110""","=""Ds LXXVIII""","=""+77""","=""Darmstadtium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""(0,3/2)*<3/2>""","=""4p2 3P<0>""","=""(""","=""6280""","="")""","=""120""","=""L8672c99""",
"=""110""","=""Ds LXXIX""","=""+78""","=""Darmstadtium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""7230""","="")""","=""120""","=""L8672c99""",
"=""110""","=""Ds LXXX""","=""+79""","=""Darmstadtium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""7350""","="")""","=""140""","=""L8672c99""",
"=""110""","=""Ds LXXXI""","=""+80""","=""Darmstadtium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""7640""","="")""","=""150""","=""L8672c99""",
"=""110""","=""Ds LXXXII""","=""+81""","=""Darmstadtium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""(""","=""7750""","="")""","=""160""","=""L8672c99""",
"=""110""","=""Ds LXXXIII""","=""+82""","=""Darmstadtium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""11730""","="")""","=""170""","=""L8672c99""",
"=""110""","=""Ds LXXXIV""","=""+83""","=""Darmstadtium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""11930""","="")""","=""190""","=""L8672c99""",
"=""110""","=""Ds LXXXV""","=""+84""","=""Darmstadtium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""12140""","="")""","=""200""","=""L8672c99""",
"=""110""","=""Ds LXXXVI""","=""+85""","=""Darmstadtium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""12380""","="")""","=""220""","=""L8672c99""",
